metric	value
mean_p_correct	0.5124001189456454
min_p_correct	0.3659279209946822
max_p_correct	0.6600703842108403
rmse_avg	0.212866586480245
obj1_top	0.532200822020274
obj1_bottom	0.5058669538555295
obj1_delta_bottom_vs_top	-0.02633386816474448
obj2_top	0.4285095689638393
obj2_bottom	0.6070385483740239
obj2_delta_bottom_vs_top	0.17852897941018464
obj1_right	0.5143210460789029
obj1_left	0.4960672763229358
obj1_delta_left_vs_right	-0.018253769755967153
obj2_right	0.4960320863048963
obj2_left	0.5314211280389455
obj2_delta_left_vs_right	0.035389041734049165
o1top_o2bot	0.621971481721907
o1bot_o2top	0.4221093390898804
delta_o1top_o2bot_vs_o1bot_o2top	0.19986214263202656
