metric	value
mean_p_correct	0.4986959391010537
min_p_correct	0.32372441396288204
max_p_correct	0.7017085644852816
rmse_avg	0.330198390649857
obj1_top	0.5276468510432637
obj1_bottom	0.4835408291433552
obj1_delta_bottom_vs_top	-0.044106021899908476
obj2_top	0.3814371042605687
obj2_bottom	0.628790898172918
obj2_delta_bottom_vs_top	0.2473537939123493
obj1_right	0.4963922799459457
obj1_left	0.4870642446197797
obj1_delta_left_vs_right	-0.009328035326165995
obj2_right	0.4869221379216718
obj2_left	0.5106180537349733
obj2_delta_left_vs_right	0.023695915813301438
o1top_o2bot	0.6539430098065049
o1bot_o2top	0.3733430323032964
delta_o1top_o2bot_vs_o1bot_o2top	0.2805999775032085
