model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.508419036865234,-11.514702796936035,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.720190048217773,-11.981532096862793,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.842170715332031,-12.24768352508545,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.5379056930542,-11.992226600646973,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.236620903015137,-11.55721664428711,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.46961784362793,-12.19482135772705,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.605220794677734,-12.514670372009277,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.640028953552246,-12.579889297485352,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-10.495359420776367,-12.37796401977539,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,A,-11.211751937866211,-13.290436744689941,True
