model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-10.261481285095215,-10.391056060791016,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.850398063659668,-9.652265548706055,False
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.728829383850098,-9.383060455322266,False
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.936902046203613,-9.777132987976074,False
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-10.000687599182129,-10.011747360229492,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-10.409577369689941,-10.724265098571777,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-10.34472942352295,-10.560653686523438,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-10.957379341125488,-11.548235893249512,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-11.186692237854004,-11.955949783325195,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-11.527074813842773,-12.552515029907227,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-11.362975120544434,-12.312156677246094,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-11.62329387664795,-12.817784309387207,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-11.598673820495605,-12.802512168884277,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,A,-11.578314781188965,-12.749139785766602,True
