model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.335810661315918,-10.077885627746582,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.431323051452637,-10.322408676147461,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.597722053527832,-10.508137702941895,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.623656272888184,-10.529969215393066,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.561936378479004,-10.397795677185059,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.46921157836914,-10.366681098937988,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.43889331817627,-10.497506141662598,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.215140342712402,-10.283885955810547,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.11622142791748,-10.177558898925781,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-11.791099548339844,-10.061902046203613,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-11.69013500213623,-9.986451148986816,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-11.779329299926758,-9.928926467895508,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB12.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-11.873948097229004,-9.927908897399902,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB13.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-11.931787490844727,-10.061755180358887,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB14.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.167288780212402,-10.261921882629395,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA00_phB15.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.137202262878418,-10.102873802185059,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA01_phB00.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.30092716217041,-10.147668838500977,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA01_phB01.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.40595531463623,-10.281146049499512,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_3/0/0000_phA01_phB02.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",A,B,-12.664836883544922,-10.586872100830078,False
