model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.7909574508667,-9.474808692932129,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.888955116271973,-9.58760929107666,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.915372848510742,-9.568628311157227,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.934988021850586,-9.620139122009277,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.023477554321289,-9.710589408874512,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.925758361816406,-9.556755065917969,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.793622970581055,-9.31828498840332,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.626083374023438,-9.063016891479492,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.580392837524414,-8.955146789550781,True
/app/DATA/data_scale_exp_400k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.668464660644531,-9.05817985534668,True
