model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.235036849975586,-10.528631210327148,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.35791301727295,-10.723587989807129,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.490642547607422,-10.811312675476074,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.599136352539062,-10.98377513885498,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.567876815795898,-10.969594955444336,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.417107582092285,-10.841287612915039,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.337188720703125,-10.658487319946289,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.13049030303955,-10.493887901306152,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-12.04143238067627,-10.370633125305176,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-11.707347869873047,-9.995373725891113,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-11.59353256225586,-9.889479637145996,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the green sphere, is the magenta cube closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",B,B,-11.752906799316406,-10.002732276916504,True
