model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.568378448486328,-9.815082550048828,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.756317138671875,-9.142269134521484,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.803701400756836,-8.870515823364258,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,No,-8.992802619934082,-8.807080268859863,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,No,-8.990610122680664,-8.841898918151855,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.878336906433105,-8.952410697937012,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.857494354248047,-8.965311050415039,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.807206153869629,-9.207357406616211,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.804154396057129,-9.44740104675293,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.712944030761719,-10.017786026000977,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB10.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.704891204833984,-9.796016693115234,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB11.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.712933540344238,-9.857006072998047,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB12.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.723721504211426,-9.618234634399414,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB13.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.59793472290039,-10.024897575378418,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB14.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.551127433776855,-9.812283515930176,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB15.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.605545997619629,-10.320019721984863,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB00.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.607133865356445,-10.199605941772461,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB01.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.660557746887207,-9.382206916809082,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB02.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.773036003112793,-8.948660850524902,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB03.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,No,-8.925087928771973,-8.860051155090332,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB04.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,No,-8.919020652770996,-8.903136253356934,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB05.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.837590217590332,-9.073214530944824,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB06.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.832756042480469,-9.085367202758789,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA01_phB07.png,Is the cyan cube farther from the camera than the green sphere? Answer with yes or no.,Yes,Yes,-8.777312278747559,-9.41204833984375,True
