model_path,text,image,Yes_logit,No_logit
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0000.png,-9.228748321533203,-10.328035354614258
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0001.png,-9.228336334228516,-10.317962646484375
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0002.png,-9.192303657531738,-10.247247695922852
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0003.png,-9.235028266906738,-10.293996810913086
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0004.png,-9.261054039001465,-10.317452430725098
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0005.png,-9.256026268005371,-10.311808586120605
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0006.png,-9.218975067138672,-10.271718978881836
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0007.png,-9.23850154876709,-10.266088485717773
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0008.png,-9.242016792297363,-10.193734169006348
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0009.png,-9.245406150817871,-10.213750839233398
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0010.png,-9.209282875061035,-10.31521987915039
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0011.png,-9.24211311340332,-10.33657455444336
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0012.png,-9.255217552185059,-10.367179870605469
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0013.png,-9.21531867980957,-10.307016372680664
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0014.png,-9.18431568145752,-10.259441375732422
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0015.png,-9.1795072555542,-10.25034236907959
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0016.png,-9.194222450256348,-10.220094680786133
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0017.png,-9.249893188476562,-10.341588973999023
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0018.png,-9.194133758544922,-10.236625671386719
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0019.png,-9.244452476501465,-10.292546272277832
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0020.png,-9.271547317504883,-10.325483322143555
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0021.png,-9.262524604797363,-10.305655479431152
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0022.png,-9.226105690002441,-10.264582633972168
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0023.png,-9.242843627929688,-10.227349281311035
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0024.png,-9.247469902038574,-10.185868263244629
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0025.png,-9.247403144836426,-10.213010787963867
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0026.png,-9.203410148620605,-10.26284122467041
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0027.png,-9.245622634887695,-10.298105239868164
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0028.png,-9.262298583984375,-10.353497505187988
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0029.png,-9.213372230529785,-10.281327247619629
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0030.png,-9.171411514282227,-10.209403038024902
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0031.png,-9.205305099487305,-10.220096588134766
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0032.png,-9.185302734375,-10.186919212341309
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0033.png,-9.218338966369629,-10.31204891204834
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0034.png,-9.167701721191406,-10.207762718200684
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0035.png,-9.225751876831055,-10.293645858764648
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0036.png,-9.24112319946289,-10.305156707763672
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0037.png,-9.247642517089844,-10.295964241027832
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0038.png,-9.203096389770508,-10.250853538513184
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0039.png,-9.240875244140625,-10.22290325164795
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0040.png,-9.238176345825195,-10.209342002868652
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0041.png,-9.237972259521484,-10.19623851776123
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0042.png,-9.188558578491211,-10.204232215881348
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0043.png,-9.235872268676758,-10.258476257324219
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0044.png,-9.24837589263916,-10.303345680236816
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0045.png,-9.220290184020996,-10.249180793762207
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0046.png,-9.147393226623535,-10.146648406982422
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0047.png,-9.20380687713623,-10.206544876098633
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0048.png,-9.191669464111328,-10.14952278137207
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0049.png,-9.20704460144043,-10.270344734191895
/app/DATA/data_scale_exp_80k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0050.png,-9.191500663757324,-10.16894245147705
