metric	value
mean_p_correct	0.4963479380324054
min_p_correct	0.47305056278986707
max_p_correct	0.5178698212179008
rmse_avg	0.1607696217472457
obj1_top	0.503191766913447
obj1_bottom	0.49493983419607857
obj1_delta_bottom_vs_top	-0.00825193271736846
obj2_top	0.4854277953020659
obj2_bottom	0.5070587190432907
obj2_delta_bottom_vs_top	0.021630923741224772
obj1_right	0.4955111218661307
obj1_left	0.49165664280674415
obj1_delta_left_vs_right	-0.003854479059386573
obj2_right	0.49437755059231503
obj2_left	0.4978467477063674
obj2_delta_left_vs_right	0.003469197114052358
o1top_o2bot	0.5117032708156689
o1bot_o2top	0.48414820752593185
delta_o1top_o2bot_vs_o1bot_o2top	0.02755506328973706
