model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.50273609161377,-8.628484725952148,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.428872108459473,-8.625211715698242,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.538970947265625,-8.566120147705078,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.468705177307129,-8.683106422424316,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.489864349365234,-8.728479385375977,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.40451717376709,-8.763442993164062,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.365944862365723,-8.599020957946777,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.266008377075195,-8.785604476928711,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.303730010986328,-8.838868141174316,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.540937423706055,-8.69937801361084,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.58534049987793,-8.569479942321777,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.594193458557129,-8.903756141662598,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.708084106445312,-8.904288291931152,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.833725929260254,-8.933631896972656,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.68476390838623,-8.52609920501709,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.538331985473633,-8.682478904724121,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.770370483398438,-8.68269157409668,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-9.576431274414062,-8.647278785705566,True
