model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.237077713012695,-8.276904106140137,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.099316596984863,-8.333993911743164,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.137104988098145,-8.332298278808594,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.05444622039795,-8.341201782226562,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.062920570373535,-8.39355182647705,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.074040412902832,-8.374513626098633,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.087224960327148,-8.395305633544922,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.045791625976562,-8.44029426574707,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.134765625,-8.417028427124023,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.29934310913086,-8.395084381103516,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.306722640991211,-8.34789752960205,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.296051025390625,-8.306540489196777,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-8.27109432220459,-8.292435646057129,False
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-8.246902465820312,-8.227911949157715,True
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-8.299103736877441,-8.198840141296387,True
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-8.313302993774414,-8.21935749053955,True
/app/DATA/data_scale_exp_800k/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-8.278890609741211,-8.247722625732422,True
